name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude
,,,,718,22,44,65,718442265,Wrothgarian Mountains,718.34375,-22.4921875,4,5
,,,,808,32,1,92,808013292,Wrothgarian Mountains,808.0078125,-32.28125,4,5
,,,,834,16,6,79,834061679,Wrothgarian Mountains,834.046875,-16.3828125,4,5
,,,,979,133,110,14,97911013314,Wrothgarian Mountains,979.859375,-133.890625,4,5
,,,,786,108,19,113,78619108113,Wrothgarian Mountains,786.1484375,-108.1171875,4,5
,,,,876,40,22,97,876224097,Wrothgarian Mountains,876.171875,-40.2421875,4,5
,,,,723,195,69,3,7236919503,Isle of Balfiera,723.5390625,-195.9765625,4,5
,,,,881,41,87,92,881874192,Wrothgarian Mountains,881.6796875,-41.28125,4,5
,,,,222,132,5,33,2220513233,Glenpoint,222.0390625,-132.7421875,3,5
,,,,860,392,5,54,8600539254,Dragontail Mountains,860.0390625,-392.578125,4,5
,,,,855,413,44,69,8554441369,Dragontail Mountains,855.34375,-413.4609375,4,5
,,,,904,32,72,65,904723265,Wrothgarian Mountains,904.5625,-32.4921875,4,5
,,,,686,373,111,68,68611137368,Dragontail Mountains,686.8671875,-373.46875,4,5
,,,,713,324,108,40,71310832440,Kozanset,713.84375,-324.6875,5,5
,,,,737,359,70,123,73770359123,Totambu,737.546875,-359.0390625,5,5
,,,,827,108,51,96,8275110896,Wrothgarian Mountains,827.3984375,-108.25,4,5
,,,,758,36,14,113,7581436113,Wrothgarian Mountains,758.109375,-36.1171875,4,5
,,,,719,47,54,77,719544777,Wrothgarian Mountains,719.421875,-47.3984375,4,5
,,,,939,447,4,111,93904447111,Dragontail Mountains,939.03125,-447.1328125,4,5
,,,,998,444,37,116,99837444116,Dragontail Mountains,998.2890625,-444.09375,4,5
,,,,629,25,106,110,62910625110,Wrothgarian Mountains,629.828125,-25.140625,4,5
,,,,792,419,67,99,7926741999,Dragontail Mountains,792.5234375,-419.2265625,4,5
,,,,429,77,114,93,4291147793,Urvaius,429.890625,-77.2734375,1,5
,,,,887,46,8,77,887084677,Wrothgarian Mountains,887.0625,-46.3984375,4,5
,,,,590,497,13,61,5901349761,Dak'fron,590.1015625,-497.5234375,9,5
,,,,847,435,95,22,8479543522,Ephesus,847.7421875,-435.828125,4,5
,,,,684,378,47,35,6844737835,Dragontail Mountains,684.3671875,-378.7265625,4,5
,,,,904,87,19,17,904198717,Wrothgarian Mountains,904.1484375,-87.8671875,4,5
,,,,960,460,4,18,9600446018,Dragontail Mountains,960.03125,-460.859375,4,5
,,,,674,440,36,22,6743644022,Dak'fron,674.28125,-440.828125,4,5
,,,,960,97,32,64,960329764,Wrothgarian Mountains,960.25,-97.5,4,5
,,,,542,497,88,60,5428849760,Dak'fron,542.6875,-497.53125,9,5
,,,,987,465,124,93,98712446593,Dragontail Mountains,987.96875,-465.2734375,4,5
,,,,891,13,124,92,8911241392,Wrothgarian Mountains,891.96875,-13.28125,4,5
,,,,680,395,83,54,6808339554,Dragontail Mountains,680.6484375,-395.578125,4,5
,,,,742,343,5,113,74205343113,Totambu,742.0390625,-343.1171875,5,5
,,,,876,9,6,35,876060935,Wrothgarian Mountains,876.046875,-9.7265625,4,5
,,,,305,114,55,51,3055511451,Shalgora,305.4296875,-114.6015625,2,5
,,,,664,291,51,4,6645129104,Lainlyn,664.3984375,-291.96875,4,5
,,,,784,398,113,127,784113398127,Dragontail Mountains,784.8828125,-398.0078125,4,5
,,,,725,199,84,101,72584199101,Isle of Balfiera,725.65625,-199.2109375,4,5
,,,,910,85,4,10,910048510,Wrothgarian Mountains,910.03125,-85.921875,4,5
,,,,923,75,93,50,923937550,Wrothgarian Mountains,923.7265625,-75.609375,4,5
,,,,851,62,41,3,851416203,Wrothgarian Mountains,851.3203125,-62.9765625,4,5
,,,,313,103,67,63,3136710363,Shalgora,313.5234375,-103.5078125,2,5
,,,,901,201,8,58,9010820158,Wayrest,901.0625,-201.546875,1,5
,,,,956,377,108,51,95610837751,Mournoth,956.84375,-377.6015625,5,5
,,,,719,72,101,14,7191017214,Wrothgarian Mountains,719.7890625,-72.890625,4,5
,,,,952,24,72,5,952722405,Wrothgarian Mountains,952.5625,-24.9609375,4,5
,,,,940,410,1,67,9400141067,Dragontail Mountains,940.0078125,-410.4765625,4,5
,,,,834,454,92,0,8349245400,Ephesus,834.71875,-455,4,5
,,,,567,340,27,5,5672734005,Tigonus,567.2109375,-340.9609375,7,5
,,,,983,99,65,79,983659979,Wrothgarian Mountains,983.5078125,-99.3828125,4,5
,,,,699,198,97,41,6999719841,Isle of Balfiera,699.7578125,-198.6796875,4,5
,,,,991,394,124,51,99112439451,Dragontail Mountains,991.96875,-394.6015625,4,5
,,,,940,14,12,17,940121417,Wrothgarian Mountains,940.09375,-14.8671875,4,5
,,,,596,489,114,63,59611448963,Dak'fron,596.890625,-489.5078125,9,5
,,,,141,127,44,41,1414412741,Glenpoint,141.34375,-127.6796875,3,5
,,,,885,105,102,46,88510210546,Wrothgarian Mountains,885.796875,-105.640625,4,5
,,,,913,104,93,56,9139310456,Wrothgarian Mountains,913.7265625,-104.5625,4,5
,,,,750,403,13,26,7501340326,Dragontail Mountains,750.1015625,-403.796875,4,5
,,,,739,366,59,82,7395936682,Totambu,739.4609375,-366.359375,5,5
,,,,704,330,86,12,7048633012,Kozanset,704.671875,-330.90625,5,5
,,,,920,25,113,87,9201132587,Wrothgarian Mountains,920.8828125,-25.3203125,4,5
,,,,724,42,92,1,724924201,Wrothgarian Mountains,724.71875,-42.9921875,4,5
,,,,694,344,18,0,6941834400,Dragontail Mountains,694.140625,-345,4,5
,,,,980,1,60,33,980600133,Wrothgarian Mountains,980.46875,-1.7421875,4,5
,,,,846,33,37,20,846373320,Wrothgarian Mountains,846.2890625,-33.84375,4,5
,,,,873,3,65,49,873650349,Wrothgarian Mountains,873.5078125,-3.6171875,4,5
,,,,845,330,64,63,8456433063,Totambu,845.5,-330.5078125,5,5
,,,,967,102,74,0,9677410200,Wrothgarian Mountains,967.578125,-103,4,5
,,,,317,133,88,115,31788133115,Shalgora,317.6875,-133.1015625,3,5
,,,,940,126,13,110,94013126110,Wrothgarian Mountains,940.1015625,-126.140625,4,5
,,,,964,395,99,93,9649939593,Dragontail Mountains,964.7734375,-395.2734375,4,5
,,,,934,416,81,46,9348141646,Dragontail Mountains,934.6328125,-416.640625,4,5
,,,,771,7,51,128,7715107128,Wrothgarian Mountains,771.3984375,-7,4,5
,,,,977,201,120,40,97712020140,Wrothgarian Mountains,977.9375,-201.6875,4,5
,,,,669,379,116,84,66911637984,Dragontail Mountains,669.90625,-379.34375,4,5
,,,,746,314,92,24,7469231424,Lainlyn,746.71875,-314.8125,5,5
,,,,733,381,60,91,7336038191,Dragontail Mountains,733.46875,-381.2890625,4,5
,,,,938,66,102,100,93810266100,Wrothgarian Mountains,938.796875,-66.21875,4,5
,,,,780,34,72,100,7807234100,Wrothgarian Mountains,780.5625,-34.21875,4,5
,,,,338,115,29,114,33829115114,Shalgora,338.2265625,-115.109375,1,5
,,,,827,41,14,15,827144115,Wrothgarian Mountains,827.109375,-41.8828125,4,5
,,,,675,15,19,100,6751915100,Wrothgarian Mountains,675.1484375,-15.21875,4,5
,,,,415,123,109,119,415109123119,Anticlere,415.8515625,-123.0703125,1,5
,,,,782,48,26,0,782264800,Wrothgarian Mountains,782.203125,-49,4,5
,,,,779,72,77,36,779777236,Wrothgarian Mountains,779.6015625,-72.71875,4,5
,,,,789,109,119,22,78911910922,Wrothgarian Mountains,789.9296875,-109.828125,4,5
,,,,642,327,55,100,64255327100,Dragontail Mountains,642.4296875,-327.21875,4,5
,,,,874,23,127,24,8741272324,Wrothgarian Mountains,874.9921875,-23.8125,4,5
,,,,863,443,87,69,8638744369,Ephesus,863.6796875,-443.4609375,4,5
,,,,676,338,50,44,6765033844,Dragontail Mountains,676.390625,-338.65625,4,5
,,,,974,7,31,92,974310792,Wrothgarian Mountains,974.2421875,-7.28125,4,5
,,,,158,142,108,87,15810814287,Glenpoint,158.84375,-142.3203125,3,5
,,,,585,483,116,109,585116483109,Dak'fron,585.90625,-483.1484375,9,5
,,,,703,396,28,31,7032839631,Dragontail Mountains,703.21875,-396.7578125,4,5
,,,,808,351,114,99,80811435199,Totambu,808.890625,-351.2265625,5,5
,,,,141,140,115,90,14111514090,Glenpoint,141.8984375,-140.296875,3,5
,,,,746,367,38,37,7463836737,Totambu,746.296875,-367.7109375,5,5
,,,,800,306,72,38,8007230638,Satakalaam,800.5625,-306.703125,5,5
,,,,823,456,104,50,82310445650,Ephesus,823.8125,-456.609375,4,5
,,,,932,97,41,26,932419726,Wrothgarian Mountains,932.3203125,-97.796875,4,5
,,,,848,203,72,36,8487220336,Menevia,848.5625,-203.71875,1,5
,,,,847,26,60,47,847602647,Wrothgarian Mountains,847.46875,-26.6328125,4,5
,,,,757,3,104,37,7571040337,Wrothgarian Mountains,757.8125,-3.7109375,4,5
,,,,714,362,92,35,7149236235,Dragontail Mountains,714.71875,-362.7265625,4,5
,,,,862,23,100,29,8621002329,Wrothgarian Mountains,862.78125,-23.7734375,4,5
,,,,713,437,20,47,7132043747,Dragontail Mountains,713.15625,-437.6328125,4,5
,,,,971,496,13,116,97113496116,Dragontail Mountains,971.1015625,-496.09375,4,5
,,,,955,105,3,114,95503105114,Wrothgarian Mountains,955.0234375,-105.109375,4,5
,,,,629,346,54,65,6295434665,Dragontail Mountains,629.421875,-346.4921875,4,5
,,,,856,413,102,93,85610241393,Dragontail Mountains,856.796875,-413.2734375,4,5
,,,,850,477,20,81,8502047781,Dragontail Mountains,850.15625,-477.3671875,4,5
,,,,825,344,77,92,8257734492,Totambu,825.6015625,-344.28125,5,5
,,,,139,117,74,86,1397411786,Glenpoint,139.578125,-117.328125,3,5
,,,,977,380,5,70,9770538070,Dragontail Mountains,977.0390625,-380.453125,4,5
,,,,979,437,23,67,9792343767,Dragontail Mountains,979.1796875,-437.4765625,4,5
,,,,269,410,12,113,26912410113,Pothago,269.09375,-410.1171875,7,5
,,,,728,75,44,69,728447569,Wrothgarian Mountains,728.34375,-75.4609375,4,5
,,,,667,331,36,45,6673633145,Dragontail Mountains,667.28125,-331.6484375,4,5
,,,,886,27,124,52,8861242752,Wrothgarian Mountains,886.96875,-27.59375,4,5
,,,,916,8,47,54,916470854,Wrothgarian Mountains,916.3671875,-8.578125,4,5
,,,,339,125,6,118,33906125118,Shalgora,339.046875,-125.078125,1,5
,,,,979,120,105,24,97910512024,Wrothgarian Mountains,979.8203125,-120.8125,4,5
,,,,906,95,22,61,906229561,Wrothgarian Mountains,906.171875,-95.5234375,4,5
,,,,903,43,73,20,903734320,Wrothgarian Mountains,903.5703125,-43.84375,4,5
,,,,830,376,105,20,83010537620,Totambu,830.8203125,-376.84375,5,5
,,,,775,446,23,77,7752344677,Dragontail Mountains,775.1796875,-446.3984375,4,5
,,,,610,469,4,86,6100446986,Dak'fron,610.03125,-469.328125,9,5
,,,,874,367,17,108,87417367108,Totambu,874.1328125,-367.15625,5,5
,,,,800,85,40,116,8004085116,Wrothgarian Mountains,800.3125,-85.09375,4,5
,,,,866,56,118,59,8661185659,Wrothgarian Mountains,866.921875,-56.5390625,4,5
,,,,976,89,54,5,976548905,Wrothgarian Mountains,976.421875,-89.9609375,4,5
,,,,918,20,92,118,9189220118,Wrothgarian Mountains,918.71875,-20.078125,4,5
,,,,793,357,20,12,7932035712,Totambu,793.15625,-357.90625,5,5
,,,,719,40,84,3,719844003,Wrothgarian Mountains,719.65625,-40.9765625,4,5
,,,,401,384,22,32,4012238432,Sentinel,401.171875,-384.75,7,5
,,,,316,115,49,113,31649115113,Shalgora,316.3828125,-115.1171875,2,5
,,,,866,108,45,5,8664510805,Wrothgarian Mountains,866.3515625,-108.9609375,4,5
,,,,688,333,27,110,68827333110,Dragontail Mountains,688.2109375,-333.140625,4,5
,,,,901,26,63,23,901632623,Wrothgarian Mountains,901.4921875,-26.8203125,4,5
,,,,884,403,96,83,8849640383,Dragontail Mountains,884.75,-403.3515625,4,5
