name,region,longitude,latitude,worldX,worldY,locationtype,locationtypeenum,mplongitude,mplatitude,gisX,gisY,dungeontype
Caarcun Manor,Alik'r Desert,78504,15016,613,382,HomeWealthy,HomeWealthy,613.3125,-381.6875,613.5,-382.5,
The Flying Goat Hostel,Alik'r Desert,72744,14504,568,386,Tavern,Tavern,568.3125,-385.6875,568.5,-386.5,
The Flying Goat Hostel,Wrothgarian Mountains,120104,62504,938,11,Tavern,Tavern,938.3125,-10.6875,938.5,-11.5,
Ruins of The Caorchom Farmstead,Alik'r Desert,76584,14376,598,387,DungeonRuin,DungeonRuin,598.3125,-386.6875,598.5,-387.5,Crypt
Singing Star of Stendarr,Alik'r Desert,77096,14376,602,387,ReligionTemple,ReligionTemple,602.3125,-386.6875,602.5,-387.5,
The Dead Griffin Inn,Alik'r Desert,68648,14248,536,388,Tavern,Tavern,536.3125,-387.6875,536.5,-388.5,
Sacred Rebirth of Stendarr,Alik'r Desert,77992,14248,609,388,ReligionTemple,ReligionTemple,609.3125,-387.6875,609.5,-388.5,
Sacred Rebirth of Stendarr,Urvaius,57256,56232,447,60,ReligionTemple,ReligionTemple,447.3125,-59.6875,447.5,-60.5,
Ruins of The F'igta Farmstead,Alik'r Desert,78504,14120,613,389,DungeonRuin,DungeonRuin,613.3125,-388.6875,613.5,-389.5,DesecratedTemple
Blessed Prophet of Stendarr,Alik'r Desert,66728,13992,521,390,ReligionTemple,ReligionTemple,521.3125,-389.6875,521.5,-390.5,
Blessed Prophet of Stendarr,Urvaius,56488,54056,441,77,ReligionTemple,ReligionTemple,441.3125,-76.6875,441.5,-77.5,
Maorn's Guard,Alik'r Desert,78248,13992,611,390,DungeonLabyrinth,DungeonLabyrinth,611.3125,-389.6875,611.5,-390.5,RuinedCastle
The Old Nheth Place,Alik'r Desert,69288,13864,541,391,HomePoor,HomePoor,541.3125,-390.6875,541.5,-391.5,
Atriga,Alik'r Desert,75424,13728,589,392,TownVillage,TownVillage,589.25,-391.75,589.5,-392.5,
The Tombs of Klerd,Alik'r Desert,79528,13736,621,392,Graveyard,Graveyard,621.3125,-391.6875,621.5,-392.5,Cemetery
The Old Luctta Shack,Alik'r Desert,79784,13736,623,392,HomePoor,HomePoor,623.3125,-391.6875,623.5,-392.5,
Bubyrydata,Alik'r Desert,78864,13592,616,393,TownHamlet,TownHamlet,616.125,-392.8125,616.5,-393.5,
The Bat and Bird Hostel,Alik'r Desert,73768,13480,576,394,Tavern,Tavern,576.3125,-393.6875,576.5,-394.5,
The Bat and Bird Hostel,Wrothgarian Mountains,104872,62504,819,11,Tavern,Tavern,819.3125,-10.6875,819.5,-11.5,
Berbaaqnia,Alik'r Desert,70792,13320,553,395,TownCity,TownCity,553.0625,-394.9375,553.5,-395.5,
THe Crypts of Rhajom,Alik'r Desert,65320,13096,510,397,Graveyard,Graveyard,510.3125,-396.6875,510.5,-397.5,Cemetery
Groleten,Alik'r Desert,68520,13096,535,397,DungeonLabyrinth,DungeonLabyrinth,535.3125,-396.6875,535.5,-397.5,GiantStronghold
Ruins of Old Stectti's Place,Alik'r Desert,72744,13096,568,397,DungeonRuin,DungeonRuin,568.3125,-396.6875,568.5,-397.5,DesecratedTemple
The Shust Farmstead,Alik'r Desert,77224,13096,603,397,HomeFarms,HomeFarms,603.3125,-396.6875,603.5,-397.5,
Holy Martyr of Stendarr,Alik'r Desert,78120,13096,610,397,ReligionTemple,ReligionTemple,610.3125,-396.6875,610.5,-397.5,
Castle Lhishen,Alik'r Desert,78888,13096,616,397,DungeonKeep,DungeonKeep,616.3125,-396.6875,616.5,-397.5,GiantStronghold
The Tombs of Cofylt,Alik'r Desert,63144,12968,493,398,Graveyard,Graveyard,493.3125,-397.6875,493.5,-398.5,Cemetery
Fearful Tree of Stendarr,Alik'r Desert,64424,12840,503,399,ReligionTemple,ReligionTemple,503.3125,-398.6875,503.5,-399.5,
The T'arder Vaults,Alik'r Desert,76456,12840,597,399,Graveyard,Graveyard,597.3125,-398.6875,597.5,-399.5,Cemetery
Ruins of The Ghach Farmstead,Alik'r Desert,71080,12712,555,400,DungeonRuin,DungeonRuin,555.3125,-399.6875,555.5,-400.5,ScorpionNest
Ruins of Tlurn'kern Palace,Alik'r Desert,71592,12712,559,400,DungeonRuin,DungeonRuin,559.3125,-399.6875,559.5,-400.5,RuinedCastle
Mhurgin Manor,Alik'r Desert,77608,12712,606,400,HomeWealthy,HomeWealthy,606.3125,-399.6875,606.5,-400.5,
Weeping Redeemer of Stendarr,Alik'r Desert,78376,12712,612,400,ReligionTemple,ReligionTemple,612.3125,-399.6875,612.5,-400.5,
Ruins of Mhurp Orchard,Alik'r Desert,67240,12584,525,401,DungeonRuin,DungeonRuin,525.3125,-400.6875,525.5,-401.5,NaturalCave
The Azarus Web,Alik'r Desert,73000,12456,570,402,DungeonLabyrinth,DungeonLabyrinth,570.3125,-401.6875,570.5,-402.5,ScorpionNest
The Tower of Thuze,Alik'r Desert,74536,12200,582,404,DungeonLabyrinth,DungeonLabyrinth,582.3125,-403.6875,582.5,-404.5,RuinedCastle
Ruins of Cyeghtan Manor,Alik'r Desert,77480,12200,605,404,DungeonRuin,DungeonRuin,605.3125,-403.6875,605.5,-404.5,NaturalCave
Kaloguja,Alik'r Desert,76416,12048,597,405,TownCity,TownCity,597,-404.875,597.5,-405.5,
Ruins of Saullur Grange,Alik'r Desert,77992,12072,609,405,DungeonRuin,DungeonRuin,609.3125,-404.6875,609.5,-405.5,Crypt
Ruins of Merim's Guard,Alik'r Desert,64296,11944,502,406,DungeonRuin,DungeonRuin,502.3125,-405.6875,502.5,-406.5,Coven
The Rat and Castle Tavern,Alik'r Desert,76712,11944,599,406,Tavern,Tavern,599.3125,-405.6875,599.5,-406.5,
The Rat and Castle Tavern,Dragontail Mountains,111656,13480,872,394,Tavern,Tavern,872.3125,-393.6875,872.5,-394.5,
Rlictta Grange,Alik'r Desert,65448,11816,511,407,HomeFarms,HomeFarms,511.3125,-406.6875,511.5,-407.5,
Syro-Kom,Alik'r Desert,76960,11808,601,407,TownVillage,TownVillage,601.25,-406.75,601.5,-407.5,
Bleeding Light of Stendarr,Alik'r Desert,65064,11560,508,409,ReligionTemple,ReligionTemple,508.3125,-408.6875,508.5,-409.5,
Bleeding Light of Stendarr,Mournoth,118184,22184,923,326,ReligionTemple,ReligionTemple,923.3125,-325.6875,923.5,-326.5,
Ruins of Old Lerkfa's Shack,Alik'r Desert,47784,11432,373,410,DungeonRuin,DungeonRuin,373.3125,-409.6875,373.5,-410.5,Coven
Ruins of Krofylen Court,Alik'r Desert,61736,11432,482,410,DungeonRuin,DungeonRuin,482.3125,-409.6875,482.5,-410.5,Crypt
The Tower of Caect'kern,Alik'r Desert,66344,11432,518,410,DungeonKeep,DungeonKeep,518.3125,-409.6875,518.5,-410.5,NaturalCave
Bleeding Seer of Stendarr,Alik'r Desert,81448,11432,636,410,ReligionTemple,ReligionTemple,636.3125,-409.6875,636.5,-410.5,
Ruins of Old Mhorci's Place,Alik'r Desert,72872,11304,569,411,DungeonRuin,DungeonRuin,569.3125,-410.6875,569.5,-411.5,DesecratedTemple
The Tower of Baesum,Alik'r Desert,77736,11304,607,411,DungeonKeep,DungeonKeep,607.3125,-410.6875,607.5,-411.5,ScorpionNest
Hettubu,Alik'r Desert,64672,11168,505,412,TownVillage,TownVillage,505.25,-411.75,505.5,-412.5,
Ruins of Rairgke Hall,Alik'r Desert,66728,11176,521,412,DungeonRuin,DungeonRuin,521.3125,-411.6875,521.5,-412.5,DesecratedTemple
Sekbith,Alik'r Desert,67368,11176,526,412,DungeonLabyrinth,DungeonLabyrinth,526.3125,-411.6875,526.5,-412.5,OrcStronghold
Fholl Palace,Alik'r Desert,50984,11048,398,413,HomeWealthy,HomeWealthy,398.3125,-412.6875,398.5,-413.5,
The Devil's Mug Tavern,Alik'r Desert,79272,11048,619,413,Tavern,Tavern,619.3125,-412.6875,619.5,-413.5,
Ruins of Old Sles-i's Farm,Alik'r Desert,45608,10920,356,414,DungeonRuin,DungeonRuin,356.3125,-413.6875,356.5,-414.5,ScorpionNest
Mogandaton,Alik'r Desert,49680,10888,388,414,TownCity,TownCity,388.125,-413.9375,388.5,-414.5,
The Rurcur Graveyard,Alik'r Desert,68904,10920,538,414,Graveyard,Graveyard,538.3125,-413.6875,538.5,-414.5,Cemetery
The Vlozir Vaults,Alik'r Desert,78504,10920,613,414,Graveyard,Graveyard,613.3125,-413.6875,613.5,-414.5,Cemetery
The Tricerlorog Web,Alik'r Desert,81192,10920,634,414,DungeonLabyrinth,DungeonLabyrinth,634.3125,-413.6875,634.5,-414.5,ScorpionNest
