fid,name,type,prefab,worldX,worldY,locationID,terrainX,terrainY,region,gisX,gixY,rotYaxis,climate,color,sink,heightOffset
1,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_10,575,378,5756537814,65,14,Tigonus,575.5078125,-378.890625,-115,Subtropical,Brown,0.5,
2,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_12,561,368,5617336821,73,21,Tigonus,561.5703125,-368.8359375,80,Subtropical,Brown,0.5,
3,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_06,599,384,59910938421,109,21,Tigonus,599.8515625,-384.8359375,49,Subtropical,Brown,0.5,
6,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_05,552,342,552101342119,101,119,Tigonus,552.7890625,-342.0703125,-88,Subtropical,Brown,0.5,
7,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,557,346,5571634625,16,25,Tigonus,557.125,-346.8046875,-141,Subtropical,Brown,0.5,
9,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_07,548,338,5488633835,86,35,Tigonus,548.671875,-338.7265625,21,Subtropical,Brown,0.5,
11,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,564,318,56469318124,69,124,Tigonus,564.5390625,-318.03125,84,Subtropical,Brown,0.5,
13,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,579,312,57908312102,8,102,Tigonus,579.0625,-312.203125,-52,Subtropical,Brown,0.5,
15,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_03,533,359,5336035971,60,71,Tigonus,533.46875,-359.4453125,121,Subtropical,Brown,0.5,
18,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_06,540,348,5402234811,22,11,Tigonus,540.171875,-348.9140625,93,Subtropical,Brown,0.5,
19,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_02,483,360,48310436009,104,9,Tigonus,483.8125,-360.9296875,-97,Subtropical,Brown,0.5,
20,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,574,323,57498323116,98,116,Tigonus,574.765625,-323.09375,113,Subtropical,Brown,0.5,
23,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_09,502,354,5029035424,90,24,Tigonus,502.703125,-354.8125,-149,Subtropical,Brown,0.5,
25,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_02,509,346,50964346119,64,119,Tigonus,509.5,-346.0703125,-85,Subtropical,Brown,0.5,
26,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_04,536,333,53605333101,5,101,Tigonus,536.0390625,-333.2109375,9,Subtropical,Brown,0.5,
28,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_07,592,365,59212636587,126,87,Tigonus,592.984375,-365.3203125,-161,Subtropical,Brown,0.5,
29,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_08,543,351,5433535112,35,12,Tigonus,543.2734375,-351.90625,132,Subtropical,Brown,0.5,
31,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_01,543,362,54312736205,127,5,Tigonus,543.9921875,-362.9609375,-72,Subtropical,Brown,0.5,
33,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_11,482,359,4826635914,66,14,Tigonus,482.515625,-359.890625,22,Subtropical,Brown,0.5,
34,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_07,489,355,4890235515,2,15,Tigonus,489.015625,-355.8828125,-83,Subtropical,Brown,0.5,
35,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Large_08,583,297,5835229778,52,78,Tigonus,583.40625,-297.390625,163,Subtropical,Brown,0.5,
37,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_05,539,348,5392634883,26,83,Tigonus,539.203125,-348.3515625,-113,Subtropical,Brown,0.5,
39,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Medium_08,586,377,58612137776,121,76,Tigonus,586.9453125,-377.40625,27,Subtropical,Brown,0.5,
41,Rocks,1,WOD_Rocks_RoundSpiky_Brown_Small_02,599,366,59911336698,113,98,Tigonus,599.8828125,-366.234375,30,Subtropical,Brown,0.5,
