name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,rotYaxis,scale,gisX,gisY,sink
Mountain,1,WOD_Mountain_01,851,15,67,70,851671570,Wrothgarian Mountains,100,0.87,851.5234375,-15.453125,1
Mountain,1,WOD_Mountain_01,939,132,106,45,93910613245,Wrothgarian Mountains,-135,0.94,939.828125,-132.6484375,1
Mountain,1,WOD_Mountain_01,844,59,74,47,844745947,Wrothgarian Mountains,180,0.86,844.578125,-59.6328125,1
Mountain,1,WOD_Mountain_01,826,107,3,84,8260310784,Wrothgarian Mountains,-94,0.93,826.0234375,-107.34375,1
Mountain,1,WOD_Mountain_01,800,76,86,17,800867617,Wrothgarian Mountains,-7,0.87,800.671875,-76.8671875,1
Mountain,1,WOD_Mountain_01,800,105,114,19,80011410519,Wrothgarian Mountains,87,0.86,800.890625,-105.8515625,1
Mountain,1,WOD_Mountain_01,846,32,104,78,8461043278,Wrothgarian Mountains,-116,0.86,846.8125,-32.390625,1
Mountain,1,WOD_Mountain_01,805,144,79,124,80579144124,Wrothgarian Mountains,-100,0.97,805.6171875,-144.03125,1
Mountain,1,WOD_Mountain_01,760,45,60,42,760604542,Wrothgarian Mountains,-150,0.97,760.46875,-45.671875,1
Mountain,1,WOD_Mountain_01,747,12,29,36,747291236,Wrothgarian Mountains,42,0.9,747.2265625,-12.71875,1
Mountain,1,WOD_Mountain_01,973,170,59,122,97359170122,Wrothgarian Mountains,77,0.99,973.4609375,-170.046875,1
Mountain,1,WOD_Mountain_01,749,76,50,61,749507661,Wrothgarian Mountains,66,0.86,749.390625,-76.5234375,1
Mountain,1,WOD_Mountain_01,917,53,119,76,9171195376,Wrothgarian Mountains,154,0.86,917.9296875,-53.40625,1
Mountain,1,WOD_Mountain_01,755,124,70,49,7557012449,Wrothgarian Mountains,93,0.85,755.546875,-124.6171875,1
Mountain,1,WOD_Mountain_01,872,131,113,40,87211313140,Wrothgarian Mountains,-93,0.85,872.8828125,-131.6875,1
Mountain,1,WOD_Mountain_01,963,82,122,63,9631228263,Wrothgarian Mountains,105,0.85,963.953125,-82.5078125,1
Mountain,1,WOD_Mountain_01,954,165,36,12,9543616512,Wrothgarian Mountains,-162,0.94,954.28125,-165.90625,1
Mountain,1,WOD_Mountain_01,899,56,46,13,899465613,Wrothgarian Mountains,81,0.85,899.359375,-56.8984375,1
Mountain,1,WOD_Mountain_01,970,197,45,6,9704519706,Wrothgarian Mountains,126,0.85,970.3515625,-197.953125,1
Mountain,1,WOD_Mountain_01,981,195,29,1,9812919501,Wrothgarian Mountains,169,0.93,981.2265625,-195.9921875,1
Mountain,1,WOD_Mountain_01,825,126,87,12,8258712612,Wrothgarian Mountains,-154,0.92,825.6796875,-126.90625,1
Mountain,1,WOD_Mountain_01,932,126,64,102,93264126102,Wrothgarian Mountains,115,0.96,932.5,-126.203125,1
Mountain,1,WOD_Mountain_01,900,70,36,115,9003670115,Wrothgarian Mountains,-175,0.97,900.28125,-70.1015625,1
Mountain,1,WOD_Mountain_01,986,186,92,105,98692186105,Wrothgarian Mountains,-43,0.95,986.71875,-186.1796875,1
Mountain,1,WOD_Mountain_01,902,127,120,19,90212012719,Wrothgarian Mountains,-138,0.94,902.9375,-127.8515625,1
Mountain,1,WOD_Mountain_01,991,95,110,77,9911109577,Wrothgarian Mountains,110,0.9,991.859375,-95.3984375,1
Mountain,1,WOD_Mountain_01,932,193,38,95,9323819395,Wrothgarian Mountains,-33,0.86,932.296875,-193.2578125,1
Mountain,1,WOD_Mountain_01,929,52,32,111,9293252111,Wrothgarian Mountains,-94,1,929.25,-52.1328125,1
Mountain,1,WOD_Mountain_01,998,204,27,4,9982720404,Wrothgarian Mountains,-141,0.85,998.2109375,-204.96875,1
Mountain,1,WOD_Mountain_01,791,106,73,110,79173106110,Wrothgarian Mountains,130,0.98,791.5703125,-106.140625,1
Mountain,1,WOD_Mountain_01,980,69,111,40,9801116940,Wrothgarian Mountains,-141,0.9,980.8671875,-69.6875,1
Mountain,1,WOD_Mountain_01,975,13,56,86,975561386,Wrothgarian Mountains,-88,0.85,975.4375,-13.328125,1
Mountain,1,WOD_Mountain_01,896,19,119,33,8961191933,Wrothgarian Mountains,42,0.91,896.9296875,-19.7421875,1
Mountain,1,WOD_Mountain_01,922,104,37,4,9223710404,Wrothgarian Mountains,127,0.91,922.2890625,-104.96875,1
Mountain,1,WOD_Mountain_01,850,21,90,23,850902123,Wrothgarian Mountains,25,0.88,850.703125,-21.8203125,1
Mountain,1,WOD_Mountain_01,951,4,40,5,951400405,Wrothgarian Mountains,-152,0.89,951.3125,-4.9609375,1
Mountain,1,WOD_Mountain_01,934,180,86,93,9348618093,Wrothgarian Mountains,-179,0.91,934.671875,-180.2734375,1
Mountain,1,WOD_Mountain_01,730,48,58,42,730584842,Wrothgarian Mountains,36,0.95,730.453125,-48.671875,1
Mountain,1,WOD_Mountain_01,772,59,42,5,772425905,Wrothgarian Mountains,-123,0.94,772.328125,-59.9609375,1
Mountain,1,WOD_Mountain_01,972,200,55,82,9725520082,Wrothgarian Mountains,121,0.9,972.4296875,-200.359375,1
Mountain,1,WOD_Mountain_01,990,95,58,70,990589570,Wrothgarian Mountains,-140,0.87,990.453125,-95.453125,1
Mountain,1,WOD_Mountain_01,921,159,22,79,9212215979,Wrothgarian Mountains,3,0.88,921.171875,-159.3828125,1
